model_name,bin,observed_rate,mean_predicted_probability
elastic_net_logistic,1,0.32142857142857145,0.27178134354709654
elastic_net_logistic,2,0.3090909090909091,0.46029288806438995
elastic_net_logistic,3,0.36363636363636365,0.49401789330196577
elastic_net_logistic,4,0.2909090909090909,0.5253396745306582
elastic_net_logistic,5,0.32727272727272727,0.6401107803808481
gradient_boosting,1,0.30357142857142855,0.16450199903245372
gradient_boosting,2,0.2909090909090909,0.25190968235778516
gradient_boosting,3,0.4,0.3100286738925651
gradient_boosting,4,0.34545454545454546,0.3775306773886823
gradient_boosting,5,0.2727272727272727,0.4903845040226239
random_forest,1,0.2857142857142857,0.39909303191381124
random_forest,2,0.4,0.4588582119165369
random_forest,3,0.21818181818181817,0.48721957591898213
random_forest,4,0.4,0.5171214662333018
random_forest,5,0.3090909090909091,0.5628452301705653
